red,green,blue,nir,ndvi,label,city,year,subclass
0.14354375,0.13037125000000002,0.10137249999999998,0.21254125000000001,0.19376694,1,riverside,1990,urban
0.14305944444444446,0.135313,0.09810916666666665,0.26512125,0.29903865,1,riverside,1990,urban
0.1598925,0.1345925,0.09403,0.24153999999999998,0.20339036,1,riverside,1990,urban
0.16261499999999998,0.13533499999999998,0.09434624999999999,0.25551,0.2221704,1,riverside,1990,urban
0.08514749999999999,0.0982925,0.06485249999999998,0.40480750000000004,0.65242726,1,riverside,1990,urban
0.3071275,0.28257,0.2218225,0.36386,0.08455075,1,riverside,1990,urban
0.18934499999999999,0.16019499999999998,0.11207,0.2757225,0.1857311,1,riverside,1990,urban
0.15875124999999998,0.1509,0.11470999999999998,0.23635625,0.1964149,1,riverside,1990,urban
0.14639000000000002,0.1312925,0.09845749999999999,0.2407975,0.2438289,1,riverside,1990,urban
0.19770500000000002,0.18472500000000003,0.1411925,0.20042749999999998,0.006838176,1,riverside,1990,urban
0.1634125,0.1509275,0.11131375000000002,0.247975,0.20555438,1,riverside,1990,urban
0.24833249999999998,0.21875625,0.15968625,0.28346375,0.06606148,1,riverside,1990,urban
0.1715085,0.16132708333333334,0.12734166666666666,0.241375,0.169216,1,riverside,1990,urban
0.16715249999999998,0.15100999999999998,0.11803750000000002,0.19558750000000003,0.07838948,1,riverside,1990,urban
0.17085124999999998,0.15140874999999998,0.11271624999999999,0.24226875,0.1728735,1,riverside,1990,urban
0.13363000000000003,0.12111749999999999,0.08693499999999998,0.336965,0.43208066,1,riverside,1990,urban
0.19980875,0.18105374999999996,0.13945083333333333,0.22967375,0.06953718,1,riverside,1990,urban
0.18638875000000002,0.17340875,0.13891,0.22741875,0.099152386,1,riverside,1990,urban
0.134345,0.1340425,0.09801749999999998,0.2906,0.36770642,1,riverside,1990,urban
0.08997375000000002,0.10302249999999999,0.07190624999999998,0.39387625000000004,0.6280924,1,riverside,1990,urban
0.17017749999999998,0.1426775,0.10057500000000003,0.24401499999999998,0.17826855,1,riverside,1990,urban
0.13385000000000002,0.12089749999999999,0.09653250000000002,0.2054875,0.21110988,1,riverside,1990,urban
0.18631999999999999,0.17295500000000003,0.1326675,0.2370575,0.11983986,1,riverside,1990,urban
0.168885,0.15736250000000002,0.1169925,0.2558125,0.20468098,1,riverside,1990,urban
0.16737249999999998,0.15195874999999998,0.11600250000000001,0.20008375,0.0890208,1,riverside,1990,urban
0.28166250000000004,0.2561425,0.19216833333333336,0.33257875,0.08289292,1,riverside,1990,urban
0.20634000000000002,0.1926175,0.14526250000000002,0.228725,0.05145208,1,riverside,1990,urban
0.0963675,0.09266875,0.067568125,0.308963125,0.5244993,1,riverside,1990,urban
0.2378,0.21855000000000002,0.1613775,0.2708,0.06488399,1,riverside,1990,urban
0.17142875,0.14755875,0.10387500000000002,0.25145375000000003,0.18923697,1,riverside,1990,urban
0.16642374999999998,0.140395,0.09882874999999999,0.25563375,0.2113693,1,riverside,1990,urban
0.21254125,0.1895925,0.136029375,0.2695625,0.11827589,1,riverside,1990,urban
0.17892249999999998,0.16034625,0.1164425,0.2033975,0.06401706,1,riverside,1990,urban
